participantId,format,quiz_key,correct_answer,user_final_answer,correct,num_wrong_attempts,all_wrong_attempts_list,all_wrong_attempts_frequency,wrong_choice_distribution,wrong_choice_count
67895b7d6400163124042af7,jsonc,tutorial-jsonc-part1,['B'],['B'],1,5,"[['C'], ['C'], ['A'], ['A'], ['A']]","{'C': 2, 'A': 3}","{'C': 2, 'A': 3}",5
67895b7d6400163124042af7,jsonc,tutorial-jsonc-part2,"['A', 'B', 'C', 'D']",['A'],0,5,"[['C'], ['A'], ['A'], ['A'], ['A']]","{'C': 1, 'A': 4}",{},0
659960f32faa4ff4b116de92,toml,tutorial-toml-part1,"['B', 'D']","['B', 'D']",1,4,"[['C', 'D', 'A', 'B'], ['C', 'D'], ['C', 'B'], ['B', 'A']]","{'C': 3, 'D': 2, 'A': 2, 'B': 3}","{'C': 3, 'A': 2}",5
659960f32faa4ff4b116de92,toml,tutorial-toml-part2,"['A', 'B', 'D']","['A', 'B', 'D']",1,1,"[['A', 'B']]","{'A': 1, 'B': 1}",{},0
5f7f239e9b204e05b6c36538,json5,tutorial-json5-part1,['D'],"['D', 'A']",0,5,"[['A'], ['B'], ['B'], ['C', 'B'], ['D', 'A']]","{'A': 2, 'B': 3, 'C': 1, 'D': 1}","{'A': 2, 'B': 3, 'C': 1}",6
5f7f239e9b204e05b6c36538,json5,tutorial-json5-part2,"['A', 'B', 'C', 'D']","['D', 'A', 'C', 'B']",1,1,"[['D', 'A']]","{'D': 1, 'A': 1}",{},0
67b8636acd5ed420cc098b64,toml,tutorial-toml-part1,"['B', 'D']","['B', 'D']",1,1,"[['A', 'C']]","{'A': 1, 'C': 1}","{'A': 1, 'C': 1}",2
67b8636acd5ed420cc098b64,toml,tutorial-toml-part2,"['A', 'B', 'D']","['A', 'B', 'D']",1,2,"[['C', 'A'], ['C', 'A', 'B']]","{'C': 2, 'A': 2, 'B': 1}",{'C': 2},2
57ca4b09993b08000192297b,xml,tutorial-xml-part1,"['A', 'B']","['A', 'B']",1,0,[],{},{},0
57ca4b09993b08000192297b,xml,tutorial-xml-part2,"['B', 'D']","['D', 'B']",1,2,"[['A', 'B', 'D'], ['A', 'D']]","{'A': 2, 'B': 1, 'D': 2}",{'A': 2},2
67d1cc8044430e99a7d91b4a,toml,tutorial-toml-part1,"['B', 'D']","['B', 'D']",1,3,"[['A', 'C', 'D'], ['A', 'C'], ['A', 'C']]","{'A': 3, 'C': 3, 'D': 1}","{'A': 3, 'C': 3}",6
67d1cc8044430e99a7d91b4a,toml,tutorial-toml-part2,"['A', 'B', 'D']","['A', 'B', 'D']",1,1,[['A']],{'A': 1},{},0
6693ce87e76d32ccf07fbcd8,xml,tutorial-xml-part1,"['A', 'B']","['A', 'B']",1,0,[],{},{},0
6693ce87e76d32ccf07fbcd8,xml,tutorial-xml-part2,"['B', 'D']","['B', 'D']",1,1,"[['B', 'C', 'D']]","{'B': 1, 'C': 1, 'D': 1}",{'C': 1},1
680ebf035ab59d342f31726e,hjson,tutorial-hjson-part1,"['A', 'C']","['C', 'A']",1,1,[['C']],{'C': 1},{},0
680ebf035ab59d342f31726e,hjson,tutorial-hjson-part2,"['A', 'B', 'C', 'D']","['C', 'D']",0,5,"[['B', 'A'], ['B', 'A', 'D'], ['B', 'C', 'D'], ['B', 'C', 'D'], ['C', 'D']]","{'B': 4, 'A': 2, 'D': 4, 'C': 3}",{},0
67f0d86fabc081fdc410e828,yaml,tutorial-yaml-part1,"['B', 'C', 'D']","['B', 'D', 'C']",1,1,"[['B', 'D']]","{'B': 1, 'D': 1}",{},0
67f0d86fabc081fdc410e828,yaml,tutorial-yaml-part2,"['B', 'C', 'D']","['B', 'D', 'C']",1,0,[],{},{},0
6691809035e52ca9b2b0f39a,yaml,tutorial-yaml-part1,"['B', 'C', 'D']",['A'],0,5,"[['B', 'D', 'A', 'C'], ['B', 'D', 'A'], ['B', 'D'], ['D', 'A'], ['A']]","{'B': 3, 'D': 4, 'A': 4, 'C': 1}",{'A': 4},4
6691809035e52ca9b2b0f39a,yaml,tutorial-yaml-part2,"['B', 'C', 'D']","['B', 'C', 'D']",1,0,[],{},{},0
678faf5b31008609fd85b185,json5,tutorial-json5-part1,['D'],['B'],0,5,"[['A', 'B'], ['A'], ['A'], ['B', 'D'], ['B']]","{'A': 3, 'B': 3, 'D': 1}","{'A': 3, 'B': 3}",6
678faf5b31008609fd85b185,json5,tutorial-json5-part2,"['A', 'B', 'C', 'D']","['A', 'B', 'C', 'D']",1,1,[['B']],{'B': 1},{},0
65e85a421f2dee53c62fbf45,json5,tutorial-json5-part1,['D'],['D'],1,5,"[['B', 'A'], [], ['B'], ['A'], ['A']]","{'B': 2, 'A': 3}","{'B': 2, 'A': 3}",5
65e85a421f2dee53c62fbf45,json5,tutorial-json5-part2,"['A', 'B', 'C', 'D']","['A', 'B', 'C', 'D']",1,4,"[['A'], ['C'], ['C', 'D'], ['B']]","{'A': 1, 'C': 2, 'D': 1, 'B': 1}",{},0
666b0b42bb6fa2822fa27a32,json5,tutorial-json5-part1,['D'],"['C', 'A']",0,5,"[['A', 'D', 'C'], ['A', 'D', 'C', 'B'], ['A', 'D', 'B'], ['B', 'C', 'D'], ['C', 'A']]","{'A': 4, 'D': 4, 'C': 4, 'B': 3}","{'A': 4, 'C': 4, 'B': 3}",11
666b0b42bb6fa2822fa27a32,json5,tutorial-json5-part2,"['A', 'B', 'C', 'D']",['B'],0,5,"[['C'], ['C', 'A'], ['A'], ['D'], ['B']]","{'C': 2, 'A': 2, 'D': 1, 'B': 1}",{},0
6708da9c62672d0fe65b6683,jsonc,tutorial-jsonc-part1,['B'],"['A', 'C', 'B', 'D']",0,5,"[['C'], ['A'], ['A'], ['A', 'C'], ['A', 'C', 'B', 'D']]","{'C': 3, 'A': 4, 'B': 1, 'D': 1}","{'C': 3, 'A': 4, 'D': 1}",8
6708da9c62672d0fe65b6683,jsonc,tutorial-jsonc-part2,"['A', 'B', 'C', 'D']","['B', 'A', 'C', 'D']",1,1,[['B']],{'B': 1},{},0
60f70af563ef757f65e750e0,xml,tutorial-xml-part1,"['A', 'B']","['B', 'A']",1,4,"[['A', 'D', 'B', 'C'], ['D', 'B'], ['B', 'C'], ['B', 'C']]","{'A': 1, 'D': 2, 'B': 4, 'C': 3}","{'D': 2, 'C': 3}",5
60f70af563ef757f65e750e0,xml,tutorial-xml-part2,"['B', 'D']","['B', 'D']",1,0,[],{},{},0
670f9ddb0e32533c222c3031,json,tutorial-json-part1,['B'],['B'],1,1,[['A']],{'A': 1},{'A': 1},1
670f9ddb0e32533c222c3031,json,tutorial-json-part2,['D'],['D'],1,2,"[['C'], ['B']]","{'C': 1, 'B': 1}","{'C': 1, 'B': 1}",2
67d03135f855dd0ff0994265,toml,tutorial-toml-part1,"['B', 'D']","['B', 'D']",1,2,"[['A'], ['A', 'B']]","{'A': 2, 'B': 1}",{'A': 2},2
67d03135f855dd0ff0994265,toml,tutorial-toml-part2,"['A', 'B', 'D']","['A', 'B', 'D']",1,0,[],{},{},0
674f479b2a4ef75e4551f258,json5,tutorial-json5-part1,['D'],['D'],1,3,"[['A', 'B'], ['A'], ['B']]","{'A': 2, 'B': 2}","{'A': 2, 'B': 2}",4
674f479b2a4ef75e4551f258,json5,tutorial-json5-part2,"['A', 'B', 'C', 'D']","['A', 'D']",0,5,"[['D'], ['C'], ['A'], ['B'], ['A', 'D']]","{'D': 2, 'C': 1, 'A': 2, 'B': 1}",{},0
5ee4a14b578f8a000b384376,yaml,tutorial-yaml-part1,"['B', 'C', 'D']","['D', 'C', 'B']",1,4,"[['A', 'B', 'C', 'D'], ['A', 'B', 'C'], ['A', 'B', 'D'], ['A', 'D', 'C']]","{'A': 4, 'B': 3, 'C': 3, 'D': 3}",{'A': 4},4
5ee4a14b578f8a000b384376,yaml,tutorial-yaml-part2,"['B', 'C', 'D']","['B', 'C', 'D']",1,0,[],{},{},0
63af557b3d4f219c3226b7d6,yaml,tutorial-yaml-part1,"['B', 'C', 'D']","['B', 'D', 'C']",1,0,[],{},{},0
63af557b3d4f219c3226b7d6,yaml,tutorial-yaml-part2,"['B', 'C', 'D']","['B', 'C', 'D']",1,3,"[['A', 'B', 'C', 'D'], ['B', 'D', 'A'], ['B', 'A', 'C']]","{'A': 3, 'B': 3, 'C': 2, 'D': 2}",{'A': 3},3
65583ffa38bfc41805a553cd,hjson,tutorial-hjson-part1,"['A', 'C']","['C', 'A']",1,0,[],{},{},0
65583ffa38bfc41805a553cd,hjson,tutorial-hjson-part2,"['A', 'B', 'C', 'D']","['A', 'B']",0,5,"[['D', 'B'], ['D', 'A'], ['A', 'D'], ['A', 'C'], ['A', 'B']]","{'D': 3, 'B': 2, 'A': 4, 'C': 1}",{},0
66684d30d1a0d64a3a348c82,yaml,tutorial-yaml-part1,"['B', 'C', 'D']",['A'],0,5,"[['D'], ['A'], ['A'], ['B'], ['A']]","{'D': 1, 'A': 3, 'B': 1}",{'A': 3},3
66684d30d1a0d64a3a348c82,yaml,tutorial-yaml-part2,"['B', 'C', 'D']","['B', 'C', 'D']",1,0,[],{},{},0
60ec51c51a3158a50ded8a3e,json5,tutorial-json5-part1,['D'],['D'],1,0,[],{},{},0
60ec51c51a3158a50ded8a3e,json5,tutorial-json5-part2,"['A', 'B', 'C', 'D']","['A', 'B', 'C', 'D']",1,0,[],{},{},0
671bdd06525adeea062a1d73,json,tutorial-json-part1,['B'],['B'],1,2,"[['A', 'B', 'D'], ['D', 'B']]","{'A': 1, 'B': 2, 'D': 2}","{'A': 1, 'D': 2}",3
671bdd06525adeea062a1d73,json,tutorial-json-part2,['D'],['D'],1,0,[],{},{},0
6647e8618c77f7b938865d25,json5,tutorial-json5-part1,['D'],['D'],1,0,[],{},{},0
6647e8618c77f7b938865d25,json5,tutorial-json5-part2,"['A', 'B', 'C', 'D']","['A', 'D', 'B', 'C']",1,5,"[['A'], ['A', 'D'], ['D'], ['C'], ['A', 'D']]","{'A': 3, 'D': 3, 'C': 1}",{},0
613a541cf948d295c1df8752,jsonc,tutorial-jsonc-part1,['B'],['B'],1,2,"[['B', 'C'], ['C']]","{'B': 1, 'C': 2}",{'C': 2},2
613a541cf948d295c1df8752,jsonc,tutorial-jsonc-part2,"['A', 'B', 'C', 'D']","['D', 'C', 'B', 'A']",1,3,"[['A'], ['C'], ['D']]","{'A': 1, 'C': 1, 'D': 1}",{},0
5e5c993cd0394c474f7cc502,toml,tutorial-toml-part1,"['B', 'D']","['D', 'B']",1,3,"[['A', 'C', 'D'], ['A', 'D'], ['A', 'D', 'B']]","{'A': 3, 'C': 1, 'D': 3, 'B': 1}","{'A': 3, 'C': 1}",4
5e5c993cd0394c474f7cc502,toml,tutorial-toml-part2,"['A', 'B', 'D']","['A', 'B', 'D']",1,0,[],{},{},0
